Pos,ORB,AST,eFG%,BLK,3P,STL,TOV,TRB,3PA
SF,0.3,0.6,0.449,0.1,0.2,0.5,0.2,1.3,1.1
SG,0.5,3.1,0.465,0.3,0.4,0.8,1.3,2.6,1.4
PF,0.0,0.0,0.6,0.0,0.8,0.2,0.4,0.2,1.8
PG,0.1,3.3,0.41,0.2,0.2,0.8,1.4,1.3,0.8
PG,0.3,5.8,0.47700000000000004,0.2,1.5,0.9,2.3,2.9,4.3
SF,1.3,2.6,0.565,1.0,1.8,1.8,1.5,6.8,4.0
SG,0.6,1.7,0.444,0.4,0.8,1.0,1.1,3.8,2.7
SF,0.6,3.9,0.509,0.0,1.5,0.8,2.0,3.6,3.9
C,2.2,4.1,0.48100000000000004,2.0,0.3,0.6,2.3,11.0,1.0
PF,1.1,1.9,0.45799999999999996,0.5,0.7,0.9,2.1,5.5,2.4
C,2.0,0.7,0.5479999999999999,1.1,0.0,0.4,0.8,5.6,0.0
SG,0.4,0.9,0.528,0.1,1.3,0.4,1.0,1.8,3.7
SF,0.4,0.6,0.441,0.2,1.1,0.5,0.6,2.6,3.7
SF,0.7,1.0,0.485,0.2,0.4,0.5,0.7,2.3,1.3
SG,0.3,1.1,0.431,0.1,0.9,0.5,1.0,2.0,2.5
PG,0.2,1.6,0.473,0.0,0.5,0.3,0.7,1.5,1.3
SF,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
SF,2.0,2.2,0.469,0.2,0.8,1.3,1.4,6.2,2.5
SF,1.2,0.9,0.5329999999999999,0.3,0.6,0.8,0.7,3.1,1.5
PG,0.3,2.4,0.436,0.1,0.3,0.7,1.3,2.7,1.4
SG,0.3,1.1,0.474,0.1,1.3,0.6,0.6,2.3,3.5
PG,0.4,4.4,0.501,0.1,1.3,0.6,1.5,2.1,3.1
PF,0.9,0.4,0.354,0.4,0.2,0.3,0.4,2.8,1.4
SF,0.4,1.0,0.521,0.5,2.2,0.8,1.1,2.7,6.0
C,3.3,1.4,0.539,1.6,0.0,0.2,1.6,7.3,0.0
C,2.7,2.8,0.511,1.1,0.0,0.8,1.9,8.9,0.1
PF,1.2,0.5,0.6729999999999999,1.3,0.0,0.4,0.8,3.6,0.0
SG,0.3,2.3,0.466,0.2,1.5,0.7,1.4,1.8,4.4
C,1.2,0.2,0.5589999999999999,0.8,0.0,0.4,0.6,3.9,0.0
PF,1.8,1.3,0.467,1.9,1.1,0.7,1.7,7.3,3.4
PG,0.3,3.1,0.5,0.2,1.3,1.3,1.5,2.1,3.8
PF,0.7,1.1,0.544,0.3,2.3,0.4,1.1,3.8,5.8
PG,0.2,2.6,0.47200000000000003,0.0,0.3,0.3,1.2,1.6,1.0
SG,0.2,1.6,0.474,0.2,0.6,0.9,1.1,2.2,1.6
SF,0.2,0.2,0.125,0.2,0.2,0.3,0.7,0.3,1.2
SG,0.4,1.7,0.518,0.4,1.0,1.1,0.9,2.6,2.7
PF,1.0,1.1,0.478,0.1,0.4,0.5,1.2,2.9,1.5
PG,0.8,4.7,0.496,0.3,1.6,1.1,2.3,3.0,4.9
C,0.6,0.3,0.579,0.5,0.0,0.1,0.5,1.9,0.0
C,1.9,1.5,0.589,1.1,0.0,0.9,1.4,7.1,0.0
SG,0.2,2.1,0.563,0.4,2.0,0.8,1.2,3.3,5.0
PG,0.3,4.4,0.494,0.1,0.6,0.5,1.3,2.8,1.6
PF,0.4,0.1,0.5,0.5,0.0,0.0,0.4,1.4,0.0
PF,1.8,1.5,0.531,0.5,0.0,0.4,1.2,5.5,0.0
PF,0.8,2.3,0.56,0.3,0.3,0.3,1.3,3.1,0.9
PF,1.9,0.6,0.447,0.5,0.0,0.5,1.0,5.1,0.0
SG,0.7,1.2,0.506,0.5,0.8,0.6,0.8,3.8,2.7
C,0.2,0.0,0.6,0.0,0.0,0.0,0.6,0.8,0.0
SG,0.3,1.2,0.541,0.2,1.4,0.8,0.8,2.7,3.5
PF,0.4,0.4,0.45399999999999996,0.2,0.8,0.3,0.5,2.5,2.8
SG,0.7,2.9,0.515,0.2,1.9,1.0,2.0,3.4,4.9
C,2.1,1.2,0.506,0.5,0.0,0.5,1.3,6.2,0.0
PG,1.2,3.0,0.405,0.3,1.0,1.5,1.3,4.2,4.0
SG,0.8,2.2,0.541,0.4,0.8,0.7,1.3,3.0,2.0
PF,2.0,0.8,0.445,0.4,0.3,0.4,0.9,5.4,0.8
SG,0.3,1.5,0.498,0.1,0.9,0.7,0.9,1.9,2.8
SG,0.4,3.1,0.5329999999999999,0.2,1.2,1.1,1.7,2.5,3.1
SF,0.5,0.8,0.384,0.3,0.7,0.6,0.4,2.5,2.4
SG,0.4,3.1,0.539,0.2,1.9,0.9,1.4,2.7,4.4
C,3.5,1.2,0.703,2.3,0.0,0.7,1.4,13.8,0.0
PG,0.1,3.2,0.52,0.1,1.1,0.6,1.4,1.5,2.7
PG,1.0,3.4,0.539,0.4,1.7,1.3,1.3,3.5,4.4
C,3.4,1.4,0.62,1.6,0.0,1.0,2.3,11.8,0.1
SF,0.6,5.0,0.573,1.2,2.6,1.0,3.5,8.2,6.7
PG,0.3,4.4,0.47100000000000003,0.1,1.0,0.9,2.3,2.6,3.0
PF,1.6,1.4,0.5539999999999999,1.0,1.9,0.7,0.8,6.4,4.7
PG,0.3,2.8,0.525,0.1,1.5,0.7,0.9,2.0,4.0
PG,0.5,6.1,0.478,0.3,1.4,1.2,1.5,2.9,3.8
SG,0.1,0.4,0.527,0.1,1.2,0.3,0.3,0.9,3.0
PG,0.3,2.7,0.39399999999999996,0.2,0.4,0.6,0.8,2.0,1.5
PF,0.9,1.9,0.467,0.5,0.7,0.4,1.0,4.3,1.8
C,2.3,1.2,0.509,1.2,0.0,0.4,2.3,7.0,0.1
SG,0.2,0.4,0.35200000000000004,0.0,0.3,0.5,0.3,1.4,1.1
PG,0.7,6.2,0.48200000000000004,0.1,1.5,0.7,2.8,3.2,4.2
PF,0.8,0.0,0.643,0.0,0.2,0.0,0.2,2.0,0.4
C,1.3,0.5,0.5660000000000001,0.8,0.0,0.3,0.9,4.3,0.0
C,1.2,0.3,0.628,1.1,0.0,0.2,0.7,3.6,0.0
PF,0.3,0.0,0.4,0.2,0.0,0.0,0.0,0.7,0.0
PG,0.2,1.8,0.423,0.0,0.6,0.4,0.8,1.0,1.9
SG,0.3,0.6,0.442,0.1,1.4,0.4,0.6,1.8,4.4
PF,1.1,0.9,0.504,0.4,0.9,0.6,0.9,4.7,2.1
SG,0.5,4.7,0.47,0.5,1.1,1.9,2.5,3.3,3.5
C,1.0,1.5,0.531,0.5,1.2,0.8,1.1,4.1,3.0
SF,1.7,1.3,0.5660000000000001,0.4,0.4,0.4,1.1,6.4,1.0
SF,0.5,2.8,0.5710000000000001,0.3,1.7,0.8,1.6,4.7,4.1
PG,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
PF,0.8,1.4,0.57,0.4,0.8,0.4,0.8,3.5,2.1
C,1.3,0.5,0.47600000000000003,0.6,0.0,0.3,0.9,4.6,0.0
PG,0.3,3.4,0.457,0.1,0.3,0.5,1.5,1.7,1.2
PG,0.3,2.5,0.36200000000000004,0.0,0.4,0.4,3.6,2.6,2.1
SG,0.7,1.3,0.507,0.3,1.9,0.5,1.0,3.5,5.1
PF,1.3,2.2,0.514,0.5,1.1,0.9,1.4,6.7,3.1
SF,0.5,1.1,0.498,0.1,0.9,0.2,0.5,3.1,2.3
C,1.5,0.3,0.601,0.8,0.0,0.3,0.7,3.8,0.0
PF,1.0,0.4,0.46299999999999997,0.5,0.5,1.2,0.6,2.8,1.4
SF,2.0,1.0,0.3,0.0,2.0,1.0,0.0,4.0,5.0
PF,2.8,1.1,0.611,0.9,0.0,0.7,0.8,7.4,0.0
C,0.7,0.4,0.41200000000000003,0.1,0.0,0.3,0.5,2.0,0.0
PF,2.1,1.9,0.508,2.0,0.6,1.3,2.0,10.3,1.8
C,1.5,0.9,0.564,1.9,0.0,0.3,1.1,3.9,0.0
SF,0.6,0.9,0.488,0.1,0.6,0.4,0.8,3.7,1.9
SG,0.5,0.9,0.474,0.3,1.0,0.6,0.6,2.4,2.8
SG,0.6,2.1,0.52,0.3,1.9,1.5,1.4,2.9,5.4
SF,1.1,2.5,0.491,0.3,1.4,0.8,1.8,5.1,3.7
PF,2.4,0.3,0.33299999999999996,0.6,0.0,0.1,0.0,3.5,0.0
SF,1.0,2.0,0.46399999999999997,2.0,1.0,1.0,0.0,5.0,2.0
C,1.8,3.2,0.547,1.5,1.1,0.8,1.3,7.3,3.1
PF,1.1,0.5,0.6,0.4,0.3,0.5,0.5,3.2,0.8
SG,1.1,4.6,0.45899999999999996,0.6,0.1,1.1,2.7,4.1,0.6
SF,0.1,0.2,0.423,0.0,0.6,0.2,0.0,0.9,1.8
PF,0.5,0.7,0.5329999999999999,0.2,1.4,0.4,0.4,3.2,3.8
C,0.6,0.4,0.461,0.2,0.1,0.1,0.6,2.1,0.3
SF,0.2,1.2,0.565,0.0,1.0,0.7,0.8,1.9,2.6
SG,0.6,1.4,0.48200000000000004,0.1,1.5,0.8,0.8,2.5,4.4
SF,0.3,0.6,0.439,0.2,0.4,0.5,0.8,1.5,1.2
PF,1.3,0.3,0.5710000000000001,0.8,0.0,0.2,0.4,3.1,0.0
SF,1.0,1.8,0.518,0.5,1.7,1.7,1.1,5.1,5.0
PF,0.0,0.0,0.639,0.0,0.7,0.0,0.1,0.5,1.5
C,1.5,0.6,0.429,1.0,0.0,0.6,0.9,5.1,0.0
SF,0.1,0.5,0.5429999999999999,0.5,0.3,0.3,0.2,1.2,1.1
PG,0.4,5.9,0.495,0.3,1.4,1.2,2.8,2.7,3.5
SF,0.8,5.8,0.506,0.6,2.0,0.9,2.9,6.1,5.7
SF,0.8,1.0,0.551,0.2,0.2,0.9,0.8,3.4,0.8
PF,2.1,1.0,0.516,0.5,0.0,0.3,0.9,5.4,0.0
SG,0.1,0.5,0.4,0.0,0.3,0.3,0.5,0.9,0.9
SF,1.4,4.2,0.474,0.5,1.5,0.9,2.4,7.7,4.3
C,1.9,1.7,0.537,1.2,0.1,1.1,1.7,7.1,0.2
C,1.1,3.8,0.465,1.3,0.0,1.0,2.3,7.0,0.1
PG,0.2,2.1,0.507,0.0,0.8,0.8,1.3,1.5,2.0
PF,2.4,1.5,0.513,1.1,0.0,0.5,1.3,8.5,0.2
SG,0.7,3.9,0.489,0.8,1.4,1.6,2.1,4.8,3.9
PF,2.6,2.1,0.479,0.2,0.1,0.6,1.5,7.8,0.4
SG,0.5,2.5,0.488,0.3,1.6,0.9,1.6,2.5,4.8
SG,0.3,1.9,0.498,0.2,2.4,1.0,1.0,3.1,6.7
C,1.4,0.4,0.5670000000000001,0.8,0.0,0.3,0.9,4.4,0.1
SG,0.8,7.5,0.512,0.6,2.9,1.7,4.6,6.1,8.0
SF,1.1,2.1,0.467,0.8,1.6,1.0,1.6,5.5,4.9
PG,0.3,2.9,0.503,0.1,0.4,0.6,1.4,2.5,1.4
SF,1.0,2.5,0.47200000000000003,0.4,1.6,0.8,1.5,5.3,4.5
PG,0.2,4.0,0.391,0.0,0.8,0.4,1.7,2.0,3.2
C,0.1,0.3,0.64,0.0,0.5,0.2,0.1,0.9,1.1
PF,1.6,0.7,0.528,0.4,0.0,0.9,0.7,5.0,0.2
SG,0.6,1.1,0.493,0.1,0.9,0.7,0.8,3.4,2.3
PF,1.1,0.7,0.46799999999999997,0.4,0.6,0.3,0.7,4.1,2.0
PG,0.8,5.8,0.513,0.2,0.9,1.0,2.6,3.8,2.8
PF,0.2,0.2,0.478,0.1,0.0,0.1,0.4,0.9,0.2
C,0.2,0.3,0.33799999999999997,0.2,0.1,0.1,0.2,1.6,0.3
C,2.2,0.4,0.542,1.6,0.0,0.2,0.9,8.0,0.0
SG,0.3,1.0,0.45,0.0,1.3,0.0,0.3,1.7,3.0
SG,0.5,2.0,0.45799999999999996,0.1,1.0,0.6,1.6,3.5,2.5
SF,0.7,1.4,0.562,0.5,0.6,1.1,0.9,4.5,1.7
SF,0.2,0.9,0.48,0.1,0.3,0.2,0.6,1.5,0.9
PF,0.7,1.0,0.551,0.2,0.8,0.3,0.6,2.7,2.1
SG,0.3,0.3,0.316,0.0,0.1,0.1,0.3,0.9,0.6
PG,0.5,10.2,0.467,0.8,1.5,1.9,4.1,4.9,4.3
PG,0.4,2.4,0.49700000000000005,0.2,1.1,1.2,1.1,1.6,3.2
C,0.5,0.2,0.44,0.2,0.0,0.1,0.7,1.3,0.2
C,3.3,0.4,0.606,3.7,0.0,0.6,1.9,11.8,0.0
PG,0.6,6.1,0.502,0.6,1.5,2.0,3.5,4.0,4.2
PF,1.0,0.5,0.414,0.1,0.0,0.3,0.5,2.7,0.0
PG,0.3,1.1,0.48100000000000004,0.1,0.2,0.3,0.6,1.4,0.5
PF,0.0,0.5,0.431,0.0,0.4,0.1,0.3,0.4,1.5
SG,0.5,1.2,0.502,0.1,1.0,0.8,1.5,2.2,2.7
C,0.7,0.8,0.489,0.9,0.1,0.4,0.8,2.9,0.2
PF,0.3,0.0,0.35200000000000004,0.0,0.2,0.3,0.2,1.2,0.7
C,0.5,0.1,0.529,0.2,0.0,0.2,0.3,1.0,0.0
C,0.4,0.7,0.47700000000000004,0.1,0.1,0.1,0.5,1.5,0.3
SF,0.5,0.6,0.504,0.7,1.3,1.1,0.7,3.1,3.9
PG,0.5,5.5,0.40399999999999997,0.5,1.1,1.0,3.2,3.4,3.4
PF,0.9,1.6,0.423,0.9,0.7,0.6,1.4,3.5,2.6
SF,0.3,1.3,0.513,0.3,1.3,0.5,0.8,2.7,3.2
C,1.4,0.8,0.596,1.1,0.0,0.8,1.1,4.8,0.0
SF,0.4,0.2,0.486,0.1,0.4,0.3,0.5,2.1,1.3
SG,0.3,2.0,0.428,0.4,0.9,0.5,1.1,1.9,3.1
PF,1.9,0.9,0.496,0.4,1.3,0.7,1.0,5.4,3.5
PG,0.0,0.4,0.4,0.0,0.0,0.4,0.6,0.0,0.4
PF,1.8,0.9,0.48,0.4,0.2,0.6,1.1,4.8,0.6
PF,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SF,0.8,1.4,0.5710000000000001,0.2,1.6,0.8,1.4,5.9,4.0
SF,0.4,0.7,0.551,0.1,0.6,0.3,0.2,1.8,1.4
PF,3.5,1.2,0.5579999999999999,0.9,0.0,0.5,1.4,8.7,0.0
C,2.3,1.2,0.424,0.8,0.0,0.5,1.9,7.6,0.1
C,3.1,0.7,0.565,1.3,0.0,0.4,1.4,9.1,0.0
C,1.3,0.3,0.62,0.6,0.0,0.2,0.6,2.6,0.0
SG,0.2,2.7,0.521,0.3,2.5,1.0,1.6,2.2,6.5
C,0.6,0.9,0.38,0.0,0.0,0.1,0.8,1.8,0.0
